Level,Hierarchical_structure,Code,Class_title,Class_definition
4,Subclass (Field),RDF1010211,Numerical analysis,This subclass comprises research and experimental development in numerical analysis.
4,Subclass (Field),RDF1010212,Mathematical optimization,This subclass comprises research and experimental development in mathematical optimization.
4,Subclass (Field),RDF1010213,Mathematical physics,This subclass comprises research and experimental development in mathematical physics.
4,Subclass (Field),RDF1010299,"Applied mathematics, n.e.c.","This subclass comprises research and experimental development in other applied mathematics, n.e.c."
3,Class,RDF10103,Statistics,This class comprises research and experimental development in statistics.
4,Subclass (Field),RDF1010301,General statistical methods,This class comprises research and experimental development in general statistical methods.
4,Subclass (Field),RDF1010302,Biostatistical methods,This subclass comprises research and experimental development in biostatistical methods.
4,Subclass (Field),RDF1010303,Statistical theory and modeling,This subclass comprises research and experimental development in statistical theory and modeling.
4,Subclass (Field),RDF1010304,Statistical inference,This subclass comprises research and experimental development in statistical inference.
4,Subclass (Field),RDF1010305,Statistical learning,This subclass comprises research and experimental development in statistical learning.
4,Subclass (Field),RDF1010306,High dimensional data analysis,This subclass comprises research and experimental development in high dimensional data analysis.
4,Subclass (Field),RDF1010307,Computational methods in statistics,This subclass comprises research and experimental development in computational methods in statistics.
4,Subclass (Field),RDF1010308,Actuarial science and mathematical finance,This subclass comprises research and experimental development in actuarial science and mathematical finance.
4,Subclass (Field),RDF1010309,Spatial statistics,This subclass comprises research and experimental development in spatial statistics.
4,Subclass (Field),RDF1010310,Survey methodology and analysis,This subclass comprises research and experimental development in survey methodology and analysis.
4,Subclass (Field),RDF1010311,Statistical methods for high throughput data,This subclass comprises research and experimental development in statistical methods for high throughput data.
4,Subclass (Field),RDF1010312,Probability theory,This subclass comprises research and experimental development in probability theory.
4,Subclass (Field),RDF1010399,"Statistics, n.e.c.","This subclass comprises research and experimental development in statistics, n.e.c."
2,Group,RDF102,Computer and information sciences,This group comprises research and experimental development in computer and information sciences.
3,Class,RDF10201,Artificial intelligence (AI),This class comprises research and experimental development in artificial intelligence (AI).
4,Subclass (Field),RDF1020101,Adaptive agents,This subclass comprises research and experimental development in adaptive agents.
4,Subclass (Field),RDF1020102,Intelligent robotics,This subclass comprises research and experimental development in intelligent robotics.
4,Subclass (Field),RDF1020103,Artificial life,This subclass comprises research and experimental development in artificial life.
4,Subclass (Field),RDF1020104,Machine learning,This subclass comprises research and experimental development in machine learning.
4,Subclass (Field),RDF1020105,Natural language processing,This subclass comprises research and experimental development in natural language processing.
4,Subclass (Field),RDF1020106,Knowledge representation,This subclass comprises research and experimental development in knowledge representation.
4,Subclass (Field),RDF1020107,Planning and scheduling in artificial intelligence,This subclass comprises research and experimental development in planning and scheduling in artificial intelligence.
4,Subclass (Field),RDF1020108,Search methodologies in artificial intelligence,This subclass comprises research and experimental development in search methodologies in artificial intelligence.
4,Subclass (Field),RDF1020109,Distributed artificial intelligence,This subclass comprises research and experimental development in distributed artificial intelligence.
4,Subclass (Field),RDF1020110,Data mining,This subclass comprises research and experimental development in data mining.
4,Subclass (Field),RDF1020111,Pattern recognition and artificial vision,This subclass comprises research and experimental development in pattern recognition and artificial vision.
4,Subclass (Field),RDF1020112,Computer vision in artificial intelligence,This subclass comprises research and experimental development in computer vision in artificial intelligence.
4,Subclass (Field),RDF1020113,Cognitive computing,This subclass comprises research and experimental development in cognitive computing.
4,Subclass (Field),RDF1020114,"Computer modelling on perception, memory and attention","This subclass comprises research and experimental development in computer modelling on perception, memory and attention."
4,Subclass (Field),RDF1020115,Logic programming in artificial intelligence,This subclass comprises research and experimental development in logic programming in artificial intelligence.
4,Subclass (Field),RDF1020116,Expert systems technologies in artificial intelligence,This subclass comprises research and experimental development in expert systems technologies in artificial intelligence.
4,Subclass (Field),RDF1020199,"Artificial intelligence, n.e.c.","This subclass comprises research and experimental development in artificial intelligence, n.e.c."
3,Class,RDF10202,Theoretical computer science and computational mathematics,This class comprises research and experimental development in theoretical computer science and computational mathematics.
4,Subclass (Field),RDF1020201,Analysis of algorithms and complexity,This subclass comprises research and experimental development in analysis of algorithms and complexity.
4,Subclass (Field),RDF1020202,Algorithms and data structures,This subclass comprises research and experimental development in algorithms and data structures.
4,Subclass (Field),RDF1020203,Applied discrete mathematics,This subclass comprises research and experimental development in applied discrete mathematics.
4,Subclass (Field),RDF1020204,Coding and information theory,This subclass comprises research and experimental development in coding and information theory.
4,Subclass (Field),RDF1020205,Computational logic theory,This subclass comprises research and experimental development in computational logic theory.
4,Subclass (Field),RDF1020206,Artificial languages,This subclass comprises research and experimental development in artificial languages.
4,Subclass (Field),RDF1020207,Mathematical software,This subclass comprises research and experimental development in mathematical software.
4,Subclass (Field),RDF1020208,Numerical computation,This subclass comprises research and experimental development in numerical computation.
4,Subclass (Field),RDF1020209,Encryption and cryptography,This subclass comprises research and experimental development in encryption and cryptography.
4,Subclass (Field),RDF1020210,Distributed programming languages,This subclass comprises research and experimental development in distributed programming languages.
4,Subclass (Field),RDF1020299,"Other theoretical computer science and computational mathematics, n.e.c.","This subclass comprises research and experimental development in other theoretical computer science and computational mathematics, n.e.c."
3,Class,RDF10203,Programming languages and software engineering,This class comprises research and experimental development in programming languages and software engineering.
4,Subclass (Field),RDF1020301,Software architecture,This subclass comprises research and experimental development in software architecture.
4,Subclass (Field),RDF1020302,Computation models,This subclass comprises research and experimental development in computation models.
4,Subclass (Field),RDF1020303,Software domains (including operating systems and software infrastructure),This subclass comprises research and experimental development in software domains (including operating systems and software infrastructure).
4,Subclass (Field),RDF1020304,Programming languages,This subclass comprises research and experimental development in programming languages.
4,Subclass (Field),RDF1020305,Software system models,This subclass comprises research and experimental development in software system models.
4,Subclass (Field),RDF1020306,Distributed systems organizing principles,This subclass comprises research and experimental development in distributed systems organizing principles.
4,Subclass (Field),RDF1020307,Real-time software and ultra-large systems,This subclass comprises research and experimental development in real-time software and ultra-large systems.
4,Subclass (Field),RDF1020308,Extra-functional properties,This subclass comprises research and experimental development in extra-functional properties.
4,Subclass (Field),RDF1020309,Compilers,This subclass comprises research and experimental development in compilers.
4,Subclass (Field),RDF1020310,Operating systems,This subclass comprises research and experimental development in operating systems.
4,Subclass (Field),RDF1020311,Software function properties,This subclass comprises research and experimental development in software function properties.
4,Subclass (Field),RDF1020312,Distributed algorithms,This subclass comprises research and experimental development in distributed algorithms.
4,Subclass (Field),RDF1020313,Adaptive software engineering,This subclass comprises research and experimental development in adaptive software engineering.
4,Subclass (Field),RDF1020399,"Programming language and software engineering, n.e.c.","This subclass comprises research and experimental development in programming language and software engineering, n.e.c."
3,Class,RDF10204,Computing systems,This class comprises research and experimental development in computing systems.
4,Subclass (Field),RDF1020401,Distributed systems,This subclass comprises research and experimental development in distributed systems.
4,Subclass (Field),RDF1020402,Networking and communications,This subclass comprises research and experimental development in networking and communications.
4,Subclass (Field),RDF1020403,Parallel systems,This subclass comprises research and experimental development in parallel systems.
4,Subclass (Field),RDF1020404,Quantum computing,This subclass comprises research and experimental development in quantum computing.
4,Subclass (Field),RDF1020499,"Computing systems, n.e.c.","This subclass comprises research and experimental development in computing systems, n.e.c."
3,Class,RDF10205,Human-centered computing,This class comprises research and experimental development in human-centered computing.
4,Subclass (Field),RDF1020501,Human computer interaction,This subclass comprises research and experimental development in human computer interaction.
4,Subclass (Field),RDF1020502,Interaction design for human-centered computing,This subclass comprises research and experimental development in interaction design for human-centered computing.
4,Subclass (Field),RDF1020503,User-adaptive and personalized systems,This subclass comprises research and experimental development in user-adaptive and personalized systems.
4,Subclass (Field),RDF1020504,Collaborative and social computing,This subclass comprises research and experimental development in collaborative and social computing.
4,Subclass (Field),RDF1020505,Ubiquitous and mobile computing,This subclass comprises research and experimental development in ubiquitous and mobile computing.
4,Subclass (Field),RDF1020506,Accessibility in human-centered computing,This subclass comprises research and experimental development in accessibility in human-centered computing.
4,Subclass (Field),RDF1020507,Computer graphics,This subclass comprises research and experimental development in computer graphics.
4,Subclass (Field),RDF1020508,Data visualization,This subclass comprises research and experimental development in data visualization.
4,Subclass (Field),RDF1020509,"Virtual and augmented reality, and related simulations","This subclass comprises research and experimental development in virtual and augmented reality, and related simulations."
4,Subclass (Field),RDF1020599,"Human-centered computing, n.e.c.","This subclass comprises research and experimental development in human-centered computing, n.e.c."
3,Class,RDF10206,Information Systems,This class comprises research and experimental development in information systems.
4,Subclass (Field),RDF1020601,Information system security,This subclass comprises research and experimental development in information system security.
4,Subclass (Field),RDF1020602,Modelling and simulation in information systems,This subclass comprises research and experimental development in modelling and simulation in information systems.
4,Subclass (Field),RDF1020603,Web technologies (except Web search),This subclass comprises research and experimental development in web technologies (except Web search).
4,Subclass (Field),RDF1020604,Conceptual modelling in information systems,This subclass comprises research and experimental development in conceptual modelling in information systems.
4,Subclass (Field),RDF1020605,Database management,This subclass comprises research and experimental development in database management.
4,Subclass (Field),RDF1020606,Decision support systems,This subclass comprises research and experimental development in decision support systems.
4,Subclass (Field),RDF1020607,Spatial-temporal data systems,This subclass comprises research and experimental development in spatial-temporal data systems.
4,Subclass (Field),RDF1020608,Information systems development methodologies,This subclass comprises research and experimental development in Information systems development methodologies.
4,Subclass (Field),RDF1020609,Information retrieval,This subclass comprises research and experimental development in information retrieval.
4,Subclass (Field),RDF1020610,Information privacy,This subclass comprises research and experimental development in information privacy.
4,Subclass (Field),RDF1020611,Privacy-enhancing technologies,This subclass comprises research and experimental development in privacy-enhancing technologies.
4,Subclass (Field),RDF1020612,Digital forensics,This subclass comprises research and experimental development in digital forensics.
4,Subclass (Field),RDF1020699,"Information systems, n.e.c.","This subclass comprises research and experimental development in information systems, n.e.c."
3,Class,RDF10207,Library science and information studies,This class comprises research and experimental development library science and information studies.
4,Subclass (Field),RDF1020701,Library science (librarianship),This subclass comprises research and experimental development in library science (librarianship).
4,Subclass (Field),RDF1020702,Human information behaviour (including human information retrieval),This subclass comprises research and experimental development in human information behaviour (including human information retrieval).
4,Subclass (Field),RDF1020703,Web search,This subclass comprises research and experimental development in web search.
4,Subclass (Field),RDF1020704,"Scientometrics, bibliometrics, webometrics and other quantitative aspects of information (Informetrics)","This subclass comprises research and experimental development in scientometrics, bibliometrics, webometrics and other quantitative aspects of information (Informetrics)."
4,Subclass (Field),RDF1020705,Organization of information and knowledge resources,This subclass comprises research and experimental development in organization of information and knowledge resources.
4,Subclass (Field),RDF1020706,Records and information management (except business records and information management),This subclass comprises research and experimental development in records and information management (except business records and information management).
4,Subclass (Field),RDF1020707,"Archival, repository and related studies","This subclass comprises research and experimental development in archival, repository and related studies."
4,Subclass (Field),RDF1020708,Information literacy,This subclass comprises research and experimental development in information literacy.
4,Subclass (Field),RDF1020799,"Information studies, n.e.c.","This subclass comprises research and experimental development in information studies, n.e.c."
3,Class,RDF10208,Bioinformatics,This class comprises research and experimental development in bioinformatics.
4,Subclass (Field),RDF1020801,Algorithms and computational genomics,This subclass comprises research and experimental development in algorithms and computational genomics.
4,Subclass (Field),RDF1020802,Computational biomodelling,This subclass comprises research and experimental development in computational biomodelling.
4,Subclass (Field),RDF1020803,Computational neurosciences,This subclass comprises research and experimental development in computational neurosciences.
4,Subclass (Field),RDF1020804,DNA computing,This subclass comprises research and experimental development in DNA computing.
4,Subclass (Field),RDF1020805,Molecular and atomic computing,This subclass comprises research and experimental development in molecular and atomic computing.
4,Subclass (Field),RDF1020806,Evolutionary computation,This subclass comprises research and experimental development in evolutionary computation.
4,Subclass (Field),RDF1020807,Genetic algorithms,This subclass comprises research and experimental development in genetic algorithms.
4,Subclass (Field),RDF1020808,Genetic programming,This subclass comprises research and experimental development in genetic programming.
4,Subclass (Field),RDF1020899,"Bioinformatics, n.e.c.","This subclass comprises research and experimental development in bioinformatics, n.e.c."
3,Class,RDF10299,Other computer and information sciences,"This class comprises research and experimental development in other computer and information sciences, n.e.c."
4,Subclass (Field),RDF1029999,Other computer and information sciences,"This subclass comprises research and experimental development in other computer and information sciences, n.e.c."
2,Group,RDF103,Physical sciences,This group comprises research and experimental development in physical sciences.
3,Class,RDF10301,Astronomical and space sciences,This class comprises research and experimental development in astronomical and space sciences.
4,Subclass (Field),RDF1030101,Astrobiology,This subclass comprises research and experimental development in astrobiology.
4,Subclass (Field),RDF1030102,Celestial mechanics,This subclass comprises research and experimental development in celestial mechanics.
4,Subclass (Field),RDF1030103,Astronomical and space instrumentation (including atmospheric observation),This subclass comprises research and experimental development in astronomical and space instrumentation (including atmospheric observation).
4,Subclass (Field),RDF1030104,Cosmology and extragalactic astronomy,This subclass comprises research and experimental development in cosmology and extragalactic astronomy.
4,Subclass (Field),RDF1030105,Galactic astronomy,This subclass comprises research and experimental development in galactic astronomy.
4,Subclass (Field),RDF1030106,General relativity and gravitational waves in astronomical and space sciences,This subclass comprises research and experimental development in general relativity and gravitational waves in astronomical and space sciences.
4,Subclass (Field),RDF1030107,"Mesospheric, ionospheric and magnetospheric physics","This subclass comprises research and experimental development in mesospheric, ionospheric and magnetospheric physics."
4,Subclass (Field),RDF1030108,Planetary science (except planetary geology),This subclass comprises research and experimental development in planetary science (except planetary geology).
4,Subclass (Field),RDF1030109,Space and solar physics,This subclass comprises research and experimental development in space and solar physics.
4,Subclass (Field),RDF1030110,Stellar astronomy and planetary systems,This subclass comprises research and experimental development in stellar astronomy and planetary systems.
4,Subclass (Field),RDF1030111,Astrochemistry,This subclass comprises research and experimental development in astrochemistry.
4,Subclass (Field),RDF1030112,Dark energy,This subclass comprises research and experimental development in dark energy.
4,Subclass (Field),RDF1030113,Theoretical and computational astrophysics,This subclass comprises research and experimental development in theoretical and computational astrophysics.
4,Subclass (Field),RDF1030199,"Astronomical and space sciences, n.e.c.","This subclass comprises research and experimental development in astronomical and space sciences, n.e.c."
3,Class,RDF10302,Subatomic physics,This class comprises research and experimental development in subatomic physics.
4,Subclass (Field),RDF1030201,"Nuclear physics, experimental","This subclass comprises research and experimental development in nuclear physics, experimental."
4,Subclass (Field),RDF1030202,"Particle physics, experimental","This subclass comprises research and experimental development in particle physics, experimental."
4,Subclass (Field),RDF1030203,Astroparticle physics,This subclass comprises research and experimental development in astroparticle physics.
4,Subclass (Field),RDF1030204,Subatomic physics instrumentation,This subclass comprises research and experimental development in subatomic physics instrumentation.
4,Subclass (Field),RDF1030205,Accelerator for nuclear and particle physics (including synchrotons),This subclass comprises research and experimental development in accelerator for nuclear and particle physics (including synchrotons).
4,Subclass (Field),RDF1030206,Nuclear physics theory,This subclass comprises research and experimental development in nuclear physics theory.
4,Subclass (Field),RDF1030207,Particle physics theory (including aspects of field theory and string theory),This subclass comprises research and experimental development in particle physics theory (including aspects of field theory and string theory).
4,Subclass (Field),RDF1030208,High-energy astrophysics and cosmic rays,This subclass comprises research and experimental development in high-energy astrophysics and cosmic rays.
4,Subclass (Field),RDF1030209,Weak interactions of elementary particles,This subclass comprises research and experimental development in weak interactions of elementary particles.
4,Subclass (Field),RDF1030210,Intermediate subatomic energy reactions,This subclass comprises research and experimental development in intermediate subatomic energy reactions.
4,Subclass (Field),RDF1030299,"Subatomic physics, n.e.c.","This subclass comprises research and experimental development in Subatomic physics, n.e.c."
3,Class,RDF10303,"Atomic, molecular, and optical physics","This class comprises research and experimental development in atomic, molecular, and optical physics."
4,Subclass (Field),RDF1030301,Atomic and molecular physics,This subclass comprises research and experimental development in atomic and molecular physics.
4,Subclass (Field),RDF1030302,Classical and physical optics,This subclass comprises research and experimental development in classical and physical optics.
4,Subclass (Field),RDF1030303,Lasers and quantum electronics,This subclass comprises research and experimental development in lasers and quantum electronics.
4,Subclass (Field),RDF1030304,Nonlinear optics and spectroscopy,This subclass comprises research and experimental development in nonlinear optics and spectroscopy.
4,Subclass (Field),RDF1030305,Atomic and molecular spectroscopy,This subclass comprises research and experimental development in atomic and molecular spectroscopy.
4,Subclass (Field),RDF1030306,"Photonics, optoelectronics and optical communications","This subclass comprises research and experimental development in photonics, optoelectronics and optical communications."
4,Subclass (Field),RDF1030307,"Plasma physics, fusion plasmas, and electrical discharges","This subclass comprises research and experimental development in plasma physics, fusion plasmas, and electrical discharges."
4,Subclass (Field),RDF1030308,Quantum optics,This subclass comprises research and experimental development in quantum optics.
4,Subclass (Field),RDF1030399,"Atomic, molecular, and optical physics, n.e.c.","This subclass comprises research and experimental development in atomic, molecular, and optical physics, n.e.c."
3,Class,RDF10304,Classical physics,This class comprises research and experimental development in classical physics.
4,Subclass (Field),RDF1030401,Acoustics and acoustical devices and waves,This subclass comprises research and experimental development in acoustics and acoustical devices and waves.
4,Subclass (Field),RDF1030402,Electrostatics and electrodynamics,This subclass comprises research and experimental development in electrostatics and electrodynamics.
4,Subclass (Field),RDF1030403,Fluid physics,This subclass comprises research and experimental development in fluid physics.
4,Subclass (Field),RDF1030404,Thermodynamics and statistical physics,This subclass comprises research and experimental development in thermodynamics and statistical physics.
4,Subclass (Field),RDF1030499,"Classical physics, n.e.c.","This subclass comprises research and experimental development in classical physics, n.e.c."
3,Class,RDF10305,Condensed matter physics,This class comprises research and experimental development in condensed matter physics.
4,Subclass (Field),RDF1030501,Condensed matter characterization technique development,This subclass comprises research and experimental development in condensed matter characterization technique development.
4,Subclass (Field),RDF1030502,Condensed matter experiments,This subclass comprises research and experimental development in condensed matter experiments.
4,Subclass (Field),RDF1030503,Condensed matter modelling and density functional theory,This subclass comprises research and experimental development in condensed matter modelling and density functional theory.
4,Subclass (Field),RDF1030504,Electronic and magnetic properties of condensed matter and supraconductivity,This subclass comprises research and experimental development in electronic and magnetic properties of condensed matter and supraconductivity.
4,Subclass (Field),RDF1030505,Soft condensed matter,This subclass comprises research and experimental development in soft condensed matter.
4,Subclass (Field),RDF1030506,Surfaces and structural properties of condensed matter,This subclass comprises research and experimental development in surfaces and structural properties of condensed matter.
4,Subclass (Field),RDF1030507,Superconductivity,This subclass comprises research and experimental development in superconductivity.
4,Subclass (Field),RDF1030508,Semiconductors,This subclass comprises research and experimental development in semiconductors.
4,Subclass (Field),RDF1030509,Low-temperature physics,This subclass comprises research and experimental development in low-temperature physics.
4,Subclass (Field),RDF1030510,Mesoscopic physics,This subclass comprises research and experimental development in mesoscopic physics.
4,Subclass (Field),RDF1030599,"Condensed matter physics, n.e.c.","This subclass comprises research and experimental development in condensed matter physics, n.e.c."
3,Class,RDF10306,Quantum physics,This class comprises research and experimental development in quantum physics.
4,Subclass (Field),RDF1030601,Degenerate quantum gases,This subclass comprises research and experimental development in degenerate quantum gases.
4,Subclass (Field),RDF1030602,Matter waves,This subclass comprises research and experimental development in matter waves.
4,Subclass (Field),RDF1030603,General relativity and gravitational waves in quantum physics,This subclass comprises research and experimental development in general relativity and gravitational waves in quantum physics.
4,Subclass (Field),RDF1030604,"Quantum information, computation and communication","This subclass comprises research and experimental development in quantum information, computation and communication."
4,Subclass (Field),RDF1030605,Foundation of quantum physics,This subclass comprises research and experimental development in foundation of quantum physics.
4,Subclass (Field),RDF1030606,Quantum technologies,This subclass comprises research and experimental development in quantum technologies.
4,Subclass (Field),RDF1030607,Statistical mechanics in quantum physics,This subclass comprises research and experimental development in statistical mechanics in quantum physics.
4,Subclass (Field),RDF1030699,"Quantum physics, n.e.c.","This subclass comprises research and experimental development in quantum physics, n.e.c."
3,Class,RDF10399,Other physical sciences,This class comprises research and experimental development in other physical sciences.
4,Subclass (Field),RDF1039901,Complex physical systems,This subclass comprises research and experimental development in complex physical systems.
4,Subclass (Field),RDF1039902,Medical physics,This subclass comprises research and experimental development in medical physics.
4,Subclass (Field),RDF1039903,Instrumentation in physics,This subclass comprises research and experimental development in instrumentation in physics.
4,Subclass (Field),RDF1039999,"Other physical sciences, n.e.c.","This subclass comprises research and experimental development in other physical sciences, n.e.c."
2,Group,RDF104,Chemical sciences,This group comprises research and experimental development in chemical sciences.
3,Class,RDF10401,Analytical chemistry,This class comprises research and experimental development in analytical chemistry.
4,Subclass (Field),RDF1040101,Analytical spectrometry,This subclass comprises research and experimental development in analytical spectrometry.
4,Subclass (Field),RDF1040102,Electroanalytical chemistry,This subclass comprises research and experimental development in electroanalytical chemistry.
4,Subclass (Field),RDF1040103,Flow analysis in chemistry,This subclass comprises research and experimental development in flow analysis in chemistry.
4,Subclass (Field),RDF1040104,Immunological and bioassay methods,This subclass comprises research and experimental development in immunological and bioassay methods.
4,Subclass (Field),RDF1040105,Instrumental methods (except immunological and bioassay methods),This subclass comprises research and experimental development in instrumental methods (except immunological and bioassay methods).
4,Subclass (Field),RDF1040106,Sensor technology (chemical aspects),This subclass comprises research and experimental development in sensor technology (chemical aspects).
4,Subclass (Field),RDF1040107,Separation science,This subclass comprises research and experimental development in separation science.
4,Subclass (Field),RDF1040108,Environmental chemistry (except atmospheric chemistry),This subclass comprises research and experimental development in environmental chemistry (except atmospheric chemistry).
4,Subclass (Field),RDF1040199,"Analytical chemistry, n.e.c.","This subclass comprises research and experimental development in analytical chemistry, n.e.c."
3,Class,RDF10402,Inorganic chemistry,This class comprises research and experimental development in inorganic chemistry.
4,Subclass (Field),RDF1040201,Bioinorganic chemistry,This subclass comprises research and experimental development in bioinorganic chemistry.
4,Subclass (Field),RDF1040202,F-Block chemistry,This subclass comprises research and experimental development in F-Block chemistry.
4,Subclass (Field),RDF1040203,Inorganic green chemistry,This subclass comprises research and experimental development in inorganic green chemistry.
4,Subclass (Field),RDF1040204,Main group metal chemistry,This subclass comprises research and experimental development in main group metal chemistry.
4,Subclass (Field),RDF1040205,Solid state chemistry,This subclass comprises research and experimental development in solid state chemistry.
4,Subclass (Field),RDF1040206,Transition metal chemistry,This subclass comprises research and experimental development in transition metal chemistry.
4,Subclass (Field),RDF1040207,Organometallic chemistry,This subclass comprises research and experimental development in organometallic chemistry.
4,Subclass (Field),RDF1040208,Inorganic materials,This subclass comprises research and experimental development in inorganic materials.
4,Subclass (Field),RDF1040209,Coordination chemistry,This subclass comprises research and experimental development in coordination chemistry.
4,Subclass (Field),RDF1040210,Supramolecular inorganic chemistry,This subclass comprises research and experimental development in supramolecular inorganic chemistry.
4,Subclass (Field),RDF1040211,Physical inorganic chemistry,This subclass comprises research and experimental development in physical inorganic chemistry.
4,Subclass (Field),RDF1040212,Metal-mediated catalysis,This subclass comprises research and experimental development in metal-mediated catalysis.
4,Subclass (Field),RDF1040213,Inorganic catalysis and reaction mechanisms,This subclass comprises research and experimental development in inorganic catalysis and reaction mechanisms.
4,Subclass (Field),RDF1040214,Inorganic photochemistry,This subclass comprises research and experimental development in inorganic photochemistry.
4,Subclass (Field),RDF1040215,Medicinal inorganic chemistry,This subclass comprises research and experimental development in medicinal inorganic chemistry.
4,Subclass (Field),RDF1040299,"Inorganic chemistry, n.e.c.","This subclass comprises research and experimental development in inorganic chemistry, n.e.c."
3,Class,RDF10403,Organic chemistry,This class comprises research and experimental development in organic chemistry.
4,Subclass (Field),RDF1040301,Free radical chemistry,This subclass comprises research and experimental development in free radical chemistry.
4,Subclass (Field),RDF1040302,Natural products chemistry,This subclass comprises research and experimental development in natural products chemistry.
4,Subclass (Field),RDF1040303,Organic chemical synthesis,This subclass comprises research and experimental development in organic chemical synthesis.
4,Subclass (Field),RDF1040304,Organic green chemistry,This subclass comprises research and experimental development in organic green chemistry.
4,Subclass (Field),RDF1040305,Physical organic chemistry,This subclass comprises research and experimental development in physical organic chemistry.
4,Subclass (Field),RDF1040306,Combinatorial chemistry,This subclass comprises research and experimental development in combinatorial chemistry.
4,Subclass (Field),RDF1040307,Organic catalysis and mechanisms of reactions,This subclass comprises research and experimental development in organic catalysis and mechanisms of reactions.
4,Subclass (Field),RDF1040308,"Quality assurance, chemometrics, traceability and metrological chemistry","This subclass comprises research and experimental development in quality assurance, chemometrics, traceability and metrological chemistry."
4,Subclass (Field),RDF1040309,Organic photochemistry,This subclass comprises research and experimental development in organic photochemistry.
4,Subclass (Field),RDF1040310,Supramolecular organic chemistry,This subclass comprises research and experimental development in supramolecular organic chemistry.
4,Subclass (Field),RDF1040399,"Organic chemistry, n.e.c.","This subclass comprises research and experimental development in organic chemistry, n.e.c."
3,Class,RDF10404,Macromolecular and materials chemistry,This class comprises research and experimental development in macromolecular and materials chemistry.
4,Subclass (Field),RDF1040401,Characterization of materials,This subclass comprises research and experimental development in characterization of materials.
4,Subclass (Field),RDF1040402,Nanochemistry,This subclass comprises research and experimental development in nanochemistry.
4,Subclass (Field),RDF1040403,Polymerization mechanisms,This subclass comprises research and experimental development in polymerization mechanisms.
